[event_chain, character_velocity] | 6●/4✦ | Ancient | R | When you play 2 cards in a turn, reclaim this character.
[character_velocity, character_tutors, materialize_value, warrior_pressure, warrior_bastion] | 3●/3✦ | Warrior | C | ▸ Materialized: Draw a character with cost 2● or less.
[character_velocity, character_tutors, materialize_value, warrior_pressure, warrior_bastion] | 3●/2✦ | Warrior | C | ▸ Materialized: Draw a character with spark 2 or less.
[prevent_control, fast_tempo, fast_interaction] | 2●/2✦ | Warrior | U | ↯fast -- ↯fast -- Abandon this character: The opponent can't play events this turn.
[event_chain, void_recursion] | 4●/2✦ | Explorer | C | When you play an event, reclaim a character with cost 3● or less.
[judgment_engines, void_recursion, materialize_value] | 5●/0✦ | Explorer | R | ▸ Materialized: This character gains +1 spark. ▸ Judgment: Reclaim a character with cost up to this character's spark ●.
[prevent_control, fast_interaction, event_setup] | 3● | Fast Event | C | Prevent a played character. Draw a card.
[prevent_control, materialize_tempo, bounce_blink_tools] | 1● | Fast Event | U | Return an ally to hand: Play this event for 0●. Prevent a played card unless the opponent pays 2●.
[cheap_removal, fast_interaction] | 3● | Fast Event | U | Banish a card from hand: Play this event for 0●. Banish an enemy with cost 3● or less.
[tempo_resets, fast_interaction, materialize_tempo, fast_tempo] | 3● | Fast Event | C | Banish an enemy until your next main phase.
[tempo_resets, fast_interaction, materialize_tempo] | 5● | Fast Event | U | Banish an enemy until your next main phase. Draw a card.
[void_recursion, character_velocity, abandon_furnace] | 4● | Event | R | Reclaim all characters with cost 3● or less. At end of your next turn, abandon all reclaimed characters.
[void_recursion, reclaim_characters, character_velocity] | 4● | Event | R | Reclaim up to 3 characters with cost 2● or less.
[void_recursion, reclaim_characters, reclaim_events] | 3● | Event | U | Reclaim a character with cost 3● or less. Reclaim 3●
[void_recursion, reclaim_characters, fast_tempo] | 2● | Fast Event | U | Reclaim a character. Banish it at end of turn.
[void_recursion, reclaim_characters, character_velocity] | 1● | Event | C | Reclaim a character. Lose 1 maximum ●.
[void_recursion] | 4●/1✦ | Child | U | When you reclaim a character, it gains +3 spark.
[hand_cycling, discard_velocity, character_tutors, materialize_value] | 3●/1✦ | Explorer | C | ▸ Materialized: You may discard a card to draw a character.
[judgment_bodies, hand_cycling, void_setup, judgment_engines] | 2●/1✦ | Child | U | ▸ Judgment: Draw a card, then discard a card. With 5 cards in your void, draw 2 instead.
[figment_swarm, go_wide_enablers, judgment_engines, hand_cycling] | 3●/1✦ | Explorer | U | ▸ Judgment: Draw a card, then discard a card. 2●: Materialize a Shadow Figment.
[judgment_engines] | 5●/2✦ | Explorer | C | ▸ Judgment: Draw a card.
[event_chain, copy_effects] | 3● | Event | R | Copy the next event you play this turn. If this event was reclaimed, copy it twice instead. Reclaim 3●
[foresee_selection, card_flow, event_setup, fast_setup, event_chain] | 2● | Fast Event | C | Foresee 3. Draw a card.
[foresee_selection, card_flow, event_setup, event_chain] | 1● | Event | C | Draw a card. Foresee 2.
[tempo_resets, fast_interaction, fast_tempo] | 2● | Fast Event | C | Return an enemy with cost 2● or less to hand. Draw a card.
[tempo_resets, fast_interaction, resource_burst, fast_tempo] | 3● | Fast Event | C | Return an enemy to hand. Gain 2●.
[void_setup, void_recursion, event_chain] | 2● | Event | U | Put the top 3 cards of your deck into your void, plus 1 more for each card you have played this turn.
[void_recursion, void_setup, survivor_dissolve, abandon_furnace] | 2●/1✦ | Explorer | R | ▸ Materialized: Put the top 3 cards of your deck into your void. ▸ Dissolved: Return another character from your void to your hand.
[void_recursion, abandon_furnace, void_setup] | 2●/1✦ | Tinkerer | R | ▸ Materialized: Put the top 3 cards of your deck into your void. 2●, Abandon an ally: Reclaim a character with cost 3● or less.
[void_setup, void_recursion] | 2●/1✦ | Child | C | ▸ Materialized: Put the top 3 cards of your deck into your void.
[void_recursion, materialize_value] | 3●/1✦ | Survivor | U | ▸ Materialized: Return a card from your void to your hand.
[spirit_growth, void_recursion, reclaim_characters] | 4●/2✦ | Spirit Animal | U | ▸ Judgment: Put the top 2 cards of your deck into your void. You may return a character from your void to your hand.
[void_recursion, reclaim_characters, void_setup] | 2● | Event | R | Return up to 2 characters from your void to your hand. Reclaim -- Put the top 3 cards of your deck into your void.
[prevent_control, fast_interaction, resource_burst, big_energy] | 2● | Fast Event | C | Prevent a played card. Gain ● equal to that card's cost.
[prevent_control, fast_interaction, fast_setup] | 2● | Fast Event | U | Prevent a played card. The opponent draws a card, then discards a card.
[prevent_control, fast_interaction, fast_setup] | 0● | Fast Event | C | Prevent a played card. The opponent draws 2 cards.
[discard_velocity, hand_cycling, resource_burst, card_flow, event_chain] | 2● | Event | C | Draw 2 cards. Discard 2 cards. Gain 3●.
[discard_velocity, hand_cycling, void_setup, card_flow] | 2● | Event | C | Discard 2 cards: Draw 3 cards.
[survivor_dissolve, defensive_curve] | 2●/1✦ | Survivor | U | ↯fast -- ▸ Dissolved: You may pay 1● to return this character to hand.
[survivor_dissolve, defensive_curve, cheap_curve] | 2●/2✦ | Survivor | C | ▸ Dissolved: Return this character to your hand.
[discard_velocity, figment_swarm] | 2●/1✦ | Survivor | C | Discard 2 cards: Materialize a Shadow Figment.
[figment_swarm, warrior_pressure, warrior_bastion] | 2●/2✦ | Warrior | C | 2●, Banish a card from your void: Materialize a Warrior Figment.
[survivor_dissolve, figment_swarm] | 1●/1✦ | Survivor | U | ▸ Dissolved: Materialize a Warrior figment for each spark this character has.
[figment_swarm, survivor_dissolve, abandon_furnace] | 5●/1✦ | Warrior | R | When an ally is dissolved, materialize a Shadow Figment. With 5 or more Shadow Figments, each gains +2 spark.
[survivor_dissolve, figment_swarm, warrior_bastion] | 2●/1✦ | Warrior | C | ▸ Dissolved: Materialize a Warrior figment.
[abandon_furnace, abandon_fodder, topdeck_setup] | 1●/1✦ | Explorer | C | Abandon an ally: Foresee 2.
[event_chain, resource_burst, big_energy] | 1● | Event | C | Gain 3●. If you have played another event this turn, draw a card.
[resource_burst, big_energy, void_setup] | 2● | Event | C | Gain 3●. If you have 7 or more cards in your void, gain 5● instead.
[abandon_furnace, abandon_fodder, character_tutors] | 2● | Event | C | Abandon an ally: Draw a character.
[abandon_furnace, abandon_fodder, character_tutors, fast_setup] | 1● | Fast Event | U | Abandon an ally: Draw a character with cost equal to that ally's cost.
[abandon_furnace, abandon_fodder] | 1●/0✦ | Survivor | C | Abandon an ally: Draw a card.
[discard_velocity, fast_tempo] | 2●/1✦ | Renegade | C | ↯fast -- When you discard a card, this character gains +2 spark.
[reclaim_events, judgment_engines, event_chain] | 2●/1✦ | Mage | R | ▸ Judgment: You may reclaim an event with cost up to this character's spark.
[reclaim_events, materialize_value, event_chain] | 4●/2✦ | Explorer | U | ▸ Materialized: Return an event with cost 3● or less from your void to your hand.
[hand_cycling, discard_velocity, judgment_engines] | 3●/2✦ | Explorer | U | ▸ Judgment: Discard your hand, then draw 3 cards.
[event_chain, figment_swarm] | 2●/1✦ | Musician | C | When you play an event, materialize a Radiant Figment.
[cheap_removal, fast_interaction, fast_setup, fast_tempo] | 1● | Fast Event | C | Dissolve an enemy with spark 3 or less.
[sweepers, premium_removal, void_recursion] | 4● | Event | R | Dissolve all characters with spark 2 or less. When you reclaim this card, dissolve all characters instead. Reclaim 6●
[judgment_bodies, big_energy, resource_burst, judgment_engines] | 1●/1✦ | Child | U | ▸ Judgment: Gain 1●. 4●: Gain 1 maximum ●.
[spirit_growth, big_energy, judgment_engines, materialized_staples] | 2●/1✦ | Spirit Animal | U | ▸ Materialized, Judgment: Gain 2●. The opponent gains 1✪.
[spirit_growth, bounce_blink_tools, big_energy, judgment_engines, materialize_tempo] | 1●/1✦ | Spirit Animal | U | ▸ Judgment: You may return a character to hand to gain 3●.
[warrior_pressure, warrior_bastion, figment_swarm] | 2●/2✦ | Warrior | U | Once per turn, when you materialize a Warrior, materialize a Radiant Figment.
[figment_swarm] | 3●/2✦ | Warrior | R | When you materialize a Figment, materialize another Figment of the same type.
[big_energy, judgment_bodies, judgment_engines, resource_burst] | 2●/1✦ | Explorer | C | ▸ Judgment: Gain 1 maximum ●.
[topdeck_setup, big_energy, foresee_selection, spirit_growth, resource_burst] | 2● | Event | C | Foresee 3. Gain 1 maximum ●.
[fast_interaction, tempo_resets, fast_setup, fast_tempo, prevent_control] | 5● | Fast Event | C | Banish an enemy until your next main phase.
[materialize_value, trigger_reuse, leave_play_enablers, abandon_furnace] | 2●/0✦ | Tinkerer | R | ▸ Materialized: Materialize a copy of an ally. Abandon this character.
[materialize_value, trigger_reuse] | 3●/0✦ | Synth | U | ▸ Materialized: Materialize a copy of an ally.
[hand_cycling, discard_velocity, void_setup] | 3● | Event | C | Each player draws 2 cards, then discards 2 cards.
[spirit_growth, big_energy, judgment_bodies, materialized_staples, resource_burst] | 2●/2✦ | Spirit Animal | U | ▸ Materialized: Gain 1 maximum ●. ▸ Judgment: Gain 1●.
[card_flow, cheap_curve] | 1●/1✦ | Explorer | C | When the opponent plays an event, draw a card.
[event_chain, event_setup, cost_reduction, materialize_value] | 5●/2✦ | Musician | R | ▸ Materialized: Draw an event. 2●: Play an event from your hand for 0●.
[ally_formation, warrior_pressure, figment_swarm] | 3●/1✦ | Warrior | R | ▸ Judgment: You may pay 2● to have each ally gain +2 spark.
[survivor_dissolve, abandon_furnace] | 4● | Event | U | Reclaim each character dissolved this turn.
[figment_swarm] | 3●/1✦ | Survivor | R | ▸ Materialized: Materialize a Warrior figment. When you materialize a Figment, draw a card.
[figment_swarm, warrior_pressure] | 5●/2✦ | Warrior | R | ▸ Materialized: Materialize a Warrior figment. ▸Judgment: Gain 1● for each allied Figment.
[materialize_tempo, bounce_blink_tools, fast_setup, card_flow, ally_formation] | 4● | Fast Event | C | Return 2 allies to hand: Play this event for 0●. Draw 2 cards.
[event_chain] | 2● | Event | C | Until end of turn, gain 2● whenever you play a card.
[discard_velocity, figment_swarm, void_setup] | 3● | Event | U | Draw 3 cards, then discard 3 cards. Materialize a Warrior figment for each character discarded this way.
[void_setup, foresee_selection, topdeck_setup, discover_toolbox] | 2● | Event | C | Look at the top four cards of your deck. Put one of them into your hand and the rest into your void.
[card_flow, event_setup, hand_cycling, discard_velocity] | 2● | Event | C | Draw 2 cards. If you played no other events this turn, discard a card.
[card_flow, reclaim_events, void_recursion] | 4● | Event | U | Draw 2 cards. Reclaim -- Lose 1 maximum ●
[event_chain] | 6● | Event | R | Copy the next event you play this turn once for each card you have played this turn.
[ally_formation, figment_swarm, finishers] | 6●/5✦ | Ancient | C | This character costs 1● less for each ally.
[figment_swarm, warrior_bastion, judgment_engines] | 5●/1✦ | Warrior | R | ▸ Judgment: Materialize a Warrior figment.
[abandon_furnace, ally_formation, figment_swarm] | 3●/1✦ | Mage | R | ▸ Judgment: You may abandon 2 allies to gain 2● and draw 2 cards.
[void_recursion, survivor_dissolve] | 3●/2✦ | Survivor | C | When you play a card from your void, reclaim this character.
[ally_formation, figment_swarm, premium_removal] | 5● | Event | C | This event costs 1● less for each ally. Dissolve an enemy. Draw a card.
[abandon_furnace, figment_swarm] | 3●/0✦ | Ancient | R | If this card is in your void, when you abandon an ally, materialize a Shadow Figment.
[abandon_furnace] | 3● | Event | C | When an ally is abandoned this turn, gain 1✪.
[hand_cycling, discard_velocity, abandon_furnace, void_setup] | 2● | Event | C | Discard a card or abandon an ally: Draw 2 cards.
[reclaim_events, event_chain] | 4● | Event | C | Return 3 random events from your void to your hand.
[topdeck_setup, spirit_growth] | 1●/0✦ | Tinkerer | R | ▸ Materialized: You may play cards from the top of your deck this turn.
[big_energy, materialized_staples, cheap_curve, resource_burst] | 1●/0✦ | Explorer | U | ▸ Materialized: Gain 1 maximum ●.
[warrior_pressure, warrior_bastion, void_recursion] | 1●/1✦ | Warrior | U | ▸ Judgment: With 3 cards in your void, this character gains +2 spark.
[abandon_furnace, abandon_fodder, big_energy, leave_play_enablers] | 2● | Event | C | Abandon an ally: Gain 1 maximum ●.
[character_tutors, hand_cycling, discard_velocity, judgment_engines] | 2●/2✦ | Explorer | U | ▸ Judgment: You may discard a card to draw a character.
[topdeck_setup, big_energy, materialized_staples, foresee_selection, spirit_growth] | 2●/1✦ | Explorer | U | ▸ Materialized: Foresee 4. Gain 1 maximum ●.
[spirit_growth] | 3●/2✦ | Child | R | When you materialize a Spirit Animal, gain 1●. When you materialize 2 Spirit Animals in a turn, draw a Spirit Animal.
[abandon_furnace, figment_swarm, leave_play_enablers] | 2●/5✦ | Ancient | R | ▸ Materialized: Abandon an ally. Materialize a Shadow figment.
[spirit_growth] | *● | Event | U | Pay X●: Discover a Spirit Animal with cost X● or less and materialize it.
[premium_removal, figment_swarm, survivor_dissolve] | 4● | Event | R | Dissolve up to 2 enemies. Materialize a Shadow Figment for each enemy dissolved.
[character_tutors, hand_cycling, discard_velocity, character_velocity] | 3●/1✦ | Tinkerer | R | ▸ Judgment: You may discard a character to draw a character with cost 1● higher.
[spark_tall] | 1●/5✦ | Explorer | C | To play this character, lose 1 maximum ●.
[spirit_growth, big_energy, abandon_furnace, judgment_engines] | 2●/2✦ | Spirit Animal | U | ▸ Judgment: You may abandon this character to gain 5●.
[warrior_pressure, warrior_bastion, spirit_growth, survivor_dissolve] | 2●/1✦ | Synth | R | ▸ Materialized: Choose a character type. Allied characters of that type gain +1 spark.
[ally_formation, figment_swarm, judgment_engines, finishers] | 5●/0✦ | Synth | R | ▸ Judgment: Each ally gains +1 spark.
[survivor_dissolve, reclaim_characters, void_recursion] | 3●/2✦ | Tinkerer | U | ▸ Dissolved: Return a character with cost 2● or less from your void to your hand.
[sweepers, premium_removal] | 3● | Event | U | Choose a number: Dissolve all enemies with cost equal to that number.
[resource_burst, big_energy, event_setup, event_chain] | 0● | Event | C | Gain 1●.
[big_energy, judgment_bodies, materialized_staples, resource_burst] | 2●/0✦ | Explorer | R | ▸ Materialized, Judgment: Gain 2●. Lose 1✪.
[big_energy, materialized_staples, resource_burst, bounce_blink_tools, materialize_value] | 1●/0✦ | Synth | U | ▸ Materialized: Gain 4●. Lose 1 maximum ●.
[abandon_furnace, abandon_fodder, judgment_engines] | 1●/0✦ | Tinkerer | U | ▸ Judgment: You may abandon an ally to gain 2●.
[abandon_furnace, void_setup, void_recursion] | 2●/1✦ | Explorer | R | ▸ Judgment: You may abandon an ally to put cards from your deck into your void equal to that ally's spark.
[figment_swarm, go_wide_enablers] | 3●/0✦ | Tinkerer | R | When the opponent materializes a character, materialize a Celestial Figment.
[figment_swarm, warrior_pressure] | 3●/0✦ | Warrior | R | ▸ Materialized: Materialize a Warrior figment. This character's spark is equal to the number of allied Figments.
[materialize_value, prevent_control, materialize_tempo] | 5●/2✦ | Tinkerer | R | ▸ Materialized: Disable an enemy's triggered abilities. This character gains those abilities.
[materialize_tempo, materialize_value, spirit_growth] | 3●/1✦ | Spirit Animal | R | When an ally is banished, this character gains +1 spark. ▸ Judgment: Banish an ally, then materialize it.
[discard_velocity, materialized_staples, materialize_value] | 4●/2✦ | Synth | R | Costs 0● if you discarded a card this turn. ▸ Materialized: Dissolve an enemy with spark 3 or less.
[abandon_furnace, spark_tall] | 2●/1✦ | Outsider | R | When you abandon an ally, this character gains +1 spark. ▸ Dissolved: Kindle X where X is this character's spark.
[reclaim_characters, prevent_control, hand_disruption, void_recursion] | 3● | Fast Event | U | Return a character from your void to your hand. The opponent discards a card.
[materialize_tempo, materialize_value] | 1● | Event | R | Until end of turn, when you materialize a character, that character gains +3 spark. Reclaim 3●
[figment_swarm, abandon_furnace, warrior_pressure] | 2●/1✦ | Warrior | U | At the end of your turn, if an ally left play this turn, materialize a Warrior figment.
[cheap_removal, fast_interaction] | 3● | Fast Event | R | Dissolve an enemy with cost 3● or less. Reclaim -- Banish a card from hand.
[judgment_engines, void_recursion, void_setup, card_flow] | 5●/4✦ | Explorer | R | ▸ Judgment: Draw a card, then put the top 2 cards of your deck into your void.
[spirit_growth, materialized_staples, materialize_value, fast_tempo] | 2●/1✦ | Spirit Animal | R | ↯fast -- ▸ Materialized: Draw a card. With 3 allied Spirit Animals, dissolve an enemy with spark 2 or less.
[materialize_value, character_velocity] | 3●/2✦ | Child | R | ▸ Materialized: Draw a card with cost 2● or less and play it for 0●.
[abandon_furnace, figment_swarm] | 5●/2✦ | Ancient | U | When a non-figment ally is abandoned, materialize a Shadow figment.
[abandon_fodder, abandon_furnace, void_recursion, survivor_dissolve] | 3●/2✦ | Survivor | R | Abandon an ally: Foresee 1. Reclaim 4●
[warrior_bastion, materialized_staples, materialize_value] | 4●/1✦ | Warrior | U | ▸ Materialized: Dissolve an enemy.
[figment_swarm, judgment_engines, abandon_furnace] | 6●/1✦ | Warrior | R | ▸ Judgment: Materialize two Shadow Figments. Abandon an ally: Draw a card.
[ally_formation, materialize_value] | 7● | Event | R | Materialize 3 random characters from your deck with total cost 6● or less.
[fast_tempo, fast_setup, prevent_control, event_chain] | 5●/0✦ | Explorer | C | Your cards have ↯fast.
[survivor_dissolve, abandon_furnace, reclaim_characters, leave_play_enablers] | 3●/1✦ | Renegade | U | Abandon this character: Return an ally dissolved this turn from your void to play.
[judgment_bodies, materialized_staples, hand_cycling, card_flow, judgment_engines] | 2●/0✦ | Survivor | R | ▸ Materialized, Judgment: You may pay 2●. If you do, draw 2 cards, then discard a card.
[materialized_staples, abandon_furnace, survivor_dissolve, resource_burst] | 2●/0✦ | Synth | U | ▸ Materialized, Dissolved: Gain 2●.
[judgment_engines, survivor_dissolve] | 3●/2✦ | Monster | R | ▸ Judgment: Dissolve a random enemy or ally among those with the lowest spark.
[copy_effects, discover_toolbox] | 4●/0✦ | Synth | U | 3●: Until end of turn, this character becomes a copy of an ally or enemy.
[materialize_tempo, materialize_value, card_flow] | 4●/2✦ | Explorer | C | When you return an ally to hand, draw a card.
[void_recursion] | 3●/3✦ | Outsider | U | When you reclaim a character, if this card is in your void, reclaim this character.
[character_tutors, topdeck_setup, void_setup, judgment_engines] | 4●/2✦ | Child | R | ▸ Judgment: Look at the top 3 cards of your deck. You may put a character into your hand. Put the rest into your void.
[judgment_engines, void_denial, prevent_control] | 5●/2✦ | Ancient | R | ▸ Judgment: You may pay 1● to materialize a character from the opponent's void.
[survivor_dissolve, spark_tall, spirit_growth] | 3●/2✦ | Spirit Animal | R | ▸ Dissolved: You may pay 3● to return this character to the battlefield with +3 spark.
[figment_swarm, abandon_furnace, spark_tall] | 4●/2✦ | Synth | R | ▸ Dissolved: Materialize a Shadow figment. When you abandon a figment, kindle 2.
[figment_swarm, abandon_furnace] | 4●/2✦ | Explorer | U | When you abandon a figment, gain 1✪.
[discard_velocity, resource_burst, void_setup] | 4●/0✦ | Survivor | C | Discard a card: Gain 2●.
[warrior_pressure, warrior_bastion, character_velocity, judgment_engines] | 5●/3✦ | Warrior | R | ▸ Judgment: With a non-Warrior ally, draw a Warrior and materialize it.
[judgment_repeaters, judgment_engines] | 2●/1✦ | Child | U | ▸ Judgment: You may pay 1● to trigger the ▸ Judgment: ability of an ally.
[abandon_furnace] | 4●/10✦ | Ancient | R | To play this card, abandon all allies.
[warrior_pressure, figment_swarm, spark_tall] | 3●/1✦ | Warrior | R | ▸ Materialized: Materialize a Warrior figment. ▸ Judgment: Kindle 1 for each allied Warrior.
[void_denial, fast_interaction] | 2●/2✦ | Synth | C | ↯fast -- Enemies may not be reclaimed.
[reclaim_characters, survivor_dissolve, fast_tempo, void_recursion] | 2●/1✦ | Survivor | U | ↯fast -- ▸ Materialized: Return a character dissolved this turn from your void to your hand.
[materialize_tempo, tempo_resets, bounce_blink_tools, leave_play_enablers] | 6●/2✦ | Spirit Animal | U | ▸ Materialized: Banish an ally or enemy until your next main phase.
[warrior_bastion, figment_swarm, judgment_engines] | 7●/4✦ | Ancient | R | ▸ Materialized, Judgment: Materialize two Warrior figments.
[warrior_pressure, materialized_staples, figment_swarm, spark_tall] | 4●/1✦ | Warrior | R | ↯fast -- ▸ Materialized: Choose one: • Kindle 2. • Materialize a Celestial Figment. • Dissolve an enemy with spark 2 or less.
[figment_swarm] | 4●/3✦ | Explorer | C | When you materialize a Figment, materialize an additional Figment.
[tempo_resets, fast_interaction, prevent_control, fast_tempo] | 3● | Fast Event | U | Return an enemy character to the top of the opponenet's deck.
[sweepers, abandon_furnace, survivor_dissolve] | 4● | Event | R | Each player abandons characters until they have as many as the player with fewest.
[sweepers, survivor_dissolve, resource_burst] | 6● | Event | R | Dissolve all characters. Gain 1● for each of your characters dissolved this way.
[materialized_staples, materialize_value, foresee_selection, topdeck_setup] | 4●/1✦ | Tinkerer | U | ▸ Materialized: Foresee 3, then draw a card.
[materialized_staples, materialize_value, card_flow, spark_tall] | 5●/2✦ | Explorer | R | ↯fast -- ▸ Materialized: Draw 2 cards. This character gains +1 spark for each card drawn this turn.
[judgment_bodies, foresee_selection, card_flow, judgment_engines] | 3●/1✦ | Explorer | U | ▸ Judgment: You may pay 2● to foresee 2 and draw a card.
[prevent_control, materialize_tempo, fast_interaction] | 3●/2✦ | Mage | R | ↯fast -- ▸ Materialized: Disable an enemy's activated and triggered abilities while this character is in play.
[materialize_value, materialize_tempo, event_chain] | 4●/1✦ | Warrior | R | When you play an event, you may banish an ally, then materialize it.
[foresee_selection, card_flow, big_energy] | 2● | Event | C | Foresee X, where X is your current energy. Draw a card.
[cost_reduction, character_velocity, go_wide_enablers] | 2● | Event | C | Each player may materialize a character from their hand for 0●.
[foresee_selection, card_flow, topdeck_setup] | 3● | Event | C | Foresee 5. Draw 2 cards.
[tempo_resets, materialize_tempo, prevent_control] | 6● | Event | C | Return all characters to their owners' hands.
[event_chain, spark_tall] | 2●/1✦ | Musician | U | When you play an event, this character gains +1 spark. ▸ Judgment: If this character has 5 or more spark, draw a card.
[warrior_bastion, warrior_pressure, judgment_bodies, cheap_curve] | 2●/2✦ | Warrior | U | ▸ Judgment: If you have fewer ✪ than the opponent, this character gains +2 spark.
[warrior_pressure, figment_swarm, judgment_engines] | 3●/2✦ | Warrior | R | ▸ Judgment: If the opponent has more ✪ than you, materialize a Warrior figment and draw a card.
[warrior_bastion, spark_disruption, materialize_value] | 5●/3✦ | Warrior | R | ▸ Materialized: Each enemy loses 2 spark.
[prevent_control, judgment_engines, premium_removal, finishers, materialize_value] | 8●/4✦ | Ancient | R | ▸ Materialized, Judgment: The opponent abandons a character. Draw a card.
[big_energy, card_flow, finishers] | 8●/5✦ | Ancient | C | 8●: Draw 8 cards.
[reclaim_characters, void_recursion, survivor_dissolve] | 1● | Event | C | Reclaim the character with the lowest cost in your void.
[discard_velocity, void_setup] | 1●/1✦ | Tinkerer | U | ▸ Judgment: You may discard up to 2 cards, then draw that many cards. This character gains +1 spark per card discarded.
[fast_tempo, judgment_engines, prevent_control] | 4●/2✦ | Renegade | R | ↯fast -- ▸ Judgment: Banish a card from the top of the opponent's deck. You may play it this turn.
[prevent_control, materialize_value, hand_disruption, survivor_dissolve] | 5●/1✦ | Survivor | C | ▸ Materialized: The opponent discards a card. Draw a card.
[judgment_engines, void_recursion, survivor_dissolve] | 3●/2✦ | Survivor | R | ▸ Judgment: With 4+ cards in your void, trigger an additional Judgment phase.
[judgment_bodies, big_energy, cheap_curve, resource_burst] | 2●/2✦ | Explorer | U | ▸ Judgment: Gain 2●. The opponent gains 1●.
[discard_velocity, void_setup, materialize_value] | 2●/1✦ | Explorer | U | ▸ Materialized: Draw a card. Discard a card. When you discard a card, this character gains +1 spark.
[discard_velocity, topdeck_setup, event_chain] | 2●/1✦ | Explorer | U | ▸ Judgment: You may discard a card to banish the top 2 cards of your deck. You may play those cards this turn.
[fast_setup, fast_tempo, cheap_curve, card_flow] | 2●/2✦ | Visitor | R | ↯fast -- ▸ Judgment: If the opponent has more cards in hand, draw a card.
[materialize_value, event_chain, discover_toolbox] | 4●/5✦ | Explorer | R | ▸ Materialized: Draw an event from the opponent's deck, then play it for 0●.
[cheap_removal, warrior_pressure, warrior_bastion, materialized_staples, cheap_curve] | 1●/0✦ | Warrior | C | ▸ Materialized: Dissolve an enemy with spark 2 or less.
[cost_reduction, big_energy, cheap_curve, finishers] | 1●/1✦ | Child | U | Characters with cost 5● or more cost you 2● less.
[warrior_pressure, ally_formation, spark_growth] | 2●/1✦ | Warrior | R | ▸ Judgment: Kindle 1. 5●: Each allied character gains +1 spark.
[spirit_growth, ally_formation, judgment_engines, big_energy] | 2●/1✦ | Spirit Animal | U | ▸ Judgment: Gain 1●. With 4 or more allies, gain 3● instead.
[warrior_pressure, spark_tall, spark_growth, cheap_curve] | 2●/1✦ | Warrior | U | ▸ Judgment: This character gains +2 spark.
[spirit_growth, big_energy, spark_tall, finishers] | 6●/*✦ | Spirit Animal | R | This character's spark is equal to your maximum ●.
[ally_formation, spark_tall, figment_swarm] | 5●/1✦ | Visionary | R | ▸ Judgment: Each ally gains spark equal to this character's spark.
[survivor_dissolve, figment_swarm, abandon_furnace] | 5●/3✦ | Survivor | U | When a non-Figment ally is dissolved, materialize a Warrior figment.
[survivor_dissolve, abandon_furnace, figment_swarm] | 10●/8✦ | Ancient | R | ▸ Dissolved: Materialize three Warrior figments.
[void_recursion, big_energy, finishers] | 4● | Event | C | Gain N maximum ●, where N is the number of characters in your void.
[abandon_furnace, judgment_engines] | 4● | Event | R | ▸ Judgment: You may abandon a character to materialize a random character from your deck.
[finishers, big_energy, cost_reduction] | 13●/10✦ | Ancient | L | When you play this character from hand, take an extra turn after this one.
[big_energy, event_setup, resource_burst] | 1● | Event | C | Gain 1 maximum ●.
[judgment_bodies, big_energy, resource_burst, midcurve_glue] | 3●/1✦ | Explorer | U | ▸ Judgment: Choose — gain 1● or gain 1 maximum ●.
[hand_cycling, discard_velocity, card_flow, event_setup] | 3● | Event | R | Each player draws 5 cards, then discards 2 cards.
[event_chain, character_velocity] | 6●/2✦ | Spirit Animal | C | When you play a card, draw a card.
[prevent_control, premium_removal, finishers, materialize_value] | 9●/4✦ | Visionary | R | ▸ Materialized: The opponent abandons 3 characters
[prevent_control, defensive_curve, midcurve_glue] | 3●/2✦ | Survivor | C | The opponent cannot play fast cards on your turn.
[premium_removal, materialize_value, prevent_control, finishers] | 6● | Event | C | Banish an enemy. Materialize a copy of it.
[discard_velocity, spark_tall, spirit_growth] | 5●/1✦ | Spirit Animal | C | Discard a card: This character gains +2 spark.
[reclaim_characters, void_recursion, survivor_dissolve] | 2●/1✦ | Survivor | U | ▸ Judgment: Return a character from your void to your hand.
[materialize_value, event_chain] | 4●/3✦ | Explorer | R | ▸ Materialized: Play a random event with cost 3● or less from your deck, with targets chosen randomly.
[character_tutors, materialize_value, topdeck_setup] | 4●/5✦ | Explorer | R | ▸ Materialized: Draw the top character of your deck.
[cheap_removal, big_energy] | 1● | Event | C | Lose 2 maximum ●: Dissolve an enemy.
[figment_swarm, void_setup, void_recursion, go_wide_enablers, judgment_engines] | 3●/1✦ | Outsider | R | ▸ Judgment: Materialize a Shadow Figment, then put the top card of your deck into your void.
[warrior_pressure, cheap_curve, point_pressure, spark_growth] | 1●/1✦ | Warrior | C | 2●: This character gains +1 spark.
[materialize_tempo, fast_tempo, finishers, card_flow, cheap_removal] | 7●/3✦ | Ancient | R | ↯fast -- ▸ Materialized: Gain 3●. Draw 3 cards. Dissolve an enemy with spark 2 or less.
[spirit_growth, big_energy, judgment_engines, materialize_value, finishers] | 8●/3✦ | Spirit Animal | R | ▸ Materialized: Draw a card. ▸ Judgment: Gain 4●.
[materialize_value, event_chain, character_tutors, finishers] | 7●/4✦ | Synth | R | ▸ Materialized: Draw a character and an event from your deck.
[judgment_bodies, big_energy, abandon_fodder, leave_play_enablers] | 0●/0✦ | Child | R | ▸ Judgment: Gain 3●. When you materialize another character, abandon this one.
[judgment_bodies] | 3●/1✦ | Visionary | R | ▸ Judgment: With exactly 5 cards in your hand, draw a card.
